0,1,2,3,4,5,6
19.0,13.0,51.0,387.375,120.0,0.0,0.0
19.0,13.0,57.0,396.562,141.0,0.0,0.0
19.0,21.0,75.0,515.25,313.0,0.0,0.0
19.0,21.0,76.0,519.562,259.0,0.0,0.0
19.0,21.0,77.0,531.562,299.0,0.0,0.0
19.0,23.0,72.0,533.25,201.0,0.0,0.0
19.0,23.0,82.0,508.688,254.0,0.0,0.0
19.0,25.0,97.0,546.188,159.0,0.0,0.0
19.0,1.0,26.0,79.875,288.0,0.0,0.0
19.0,1.0,27.0,108.0,877.0,0.0,0.0
19.0,1.0,28.0,150.562,876.0,0.0,0.0
19.0,1.0,29.0,243.75,2174.0,0.0,0.0
19.0,1.0,30.0,326.062,2261.0,0.0,0.0
19.0,1.0,31.0,892.875,3378.0,0.0,0.0
19.0,11.0,48.0,383.438,117.0,0.0,0.0
19.0,11.0,49.0,342.938,132.0,0.0,0.0
19.0,11.0,50.0,341.625,111.0,0.0,0.0
19.0,11.0,51.0,644.062,97.0,0.0,0.0
19.0,11.0,52.0,371.25,155.0,0.0,0.0
19.0,11.0,53.0,371.812,109.0,0.0,0.0
19.0,11.0,54.0,362.062,158.0,0.0,0.0
19.0,19.0,80.0,508.688,211.0,0.0,0.0
19.0,9.0,49.0,364.688,117.0,0.0,0.0
19.0,9.0,54.0,402.188,103.0,0.0,0.0
19.0,11.0,56.0,388.688,122.0,0.0,0.0
19.0,23.0,89.0,491.25,181.0,0.0,0.0
19.0,37.0,167.0,130.5,99.0,0.0,0.0
19.0,1.0,32.0,1067.62,1106.0,0.0,0.0
19.0,1.0,34.0,1145.44,2157.0,0.0,0.0
19.0,1.0,35.0,1011.94,3333.0,0.0,0.0
19.0,1.0,36.0,1048.88,2531.0,0.0,0.0
19.0,1.0,37.0,1101.0,1489.0,0.0,0.0
19.0,1.0,38.0,1135.69,1809.0,0.0,0.0
19.0,15.0,81.0,1916.81,146.0,0.0,0.0
19.0,15.0,82.0,1915.88,165.0,0.0,0.0
19.0,15.0,84.0,1868.62,170.0,0.0,0.0
19.0,11.0,67.0,720.562,91.0,0.0,0.0
19.0,13.0,74.0,435.0,122.0,0.0,0.0
19.0,13.0,79.0,1878.38,122.0,0.0,0.0
