,nRt,nRA,nLt,nLA
527,132.37,1846.0,104.245,1640.0
528,177.55700000000002,1612.0,270.519,610.0
529,199.30700000000002,2342.0,136.12,2640.0
530,715.312,88.0,198.18200000000002,1775.0
531,135.55700000000002,280.0,108.745,345.0
532,77.0283,235.0,29.0667,329.0
533,148.298,334.0,135.55700000000002,280.0
534,175.298,155.0,77.0283,235.0
535,34.1196,352.0,21.5187,255.0
536,15.5571,374.0,122.79799999999999,149.0
537,192.55700000000002,296.0,34.1196,352.0
538,160.85,173.0,15.5571,374.0
539,158.442,1425.0,7.6437,352.0
540,692.61,129.0,772.831,122.0
541,318.932,215.0,114.182,227.0
542,60.5571,239.0,310.653,238.0
543,4.8408,1402.0,347.235,364.0
544,463.68800000000005,8834.0,75.375,143.0
545,,,12.7254,2100.0
546,163.653,179.0,22.6917,345.0
547,355.87,698.0,37.1806,829.0
548,411.93199999999996,699.0,306.37,1328.0
549,174.567,1505.0,355.87,698.0
550,26.6196,1693.0,131.394,2044.0
551,82.1004,3102.0,894.562,4981.0
552,475.5,13998.0,1056.19,1060.0
553,901.5,5047.0,275.769,1513.0
554,51.7254,1400.0,155.995,1318.0
555,180.548,3060.0,260.432,1436.0
556,641.975,113.0,60.5571,239.0
557,54.5379,241.0,56.2446,185.0
558,692.438,93.0,282.188,11940.0
559,683.438,108.0,705.375,88.0
560,672.938,102.0,692.438,93.0
561,665.625,83.0,683.438,108.0
562,94.1004,1265.0,672.938,102.0
563,640.688,121.0,665.625,83.0
564,636.375,99.0,94.1004,1265.0
565,637.688,86.0,640.688,121.0
566,661.688,105.0,636.375,99.0
567,44.985,1646.0,637.688,86.0
568,678.375,109.0,661.688,105.0
569,709.5,103.0,21.3312,862.0
570,,,719.438,86.0
572,204.322,947.0,,
573,,,484.288,126.0
575,11.235,1878.0,443.038,340.0
576,237.36,683.0,11.235,1878.0
577,,,311.235,387.0
578,76.2975,2323.0,,
579,,,241.28799999999998,802.0
580,185.048,1343.0,,
581,704.25,92.0,505.11,199.0
582,243.13400000000001,1219.0,185.048,1343.0
583,92.7975,1689.0,44.985,1646.0
584,696.562,88.0,678.375,109.0
585,705.188,129.0,92.7975,1689.0
586,590.048,275.0,696.562,88.0
587,13.1004,1043.0,705.188,129.0
588,,,590.048,275.0
589,407.61,1356.0,204.322,947.0
590,391.11,947.0,673.875,104.0
591,293.788,788.0,,
592,545.413,257.0,113.42299999999999,1472.0
593,22.86,2323.0,293.788,788.0
594,182.6,1733.0,545.413,257.0
595,683.438,95.0,,
596,,,266.947,462.0
597,309.35,1077.0,118.67299999999999,1589.0
598,247.125,87.0,309.35,1077.0
599,236.235,1299.0,199.812,763.0
600,661.8789999999999,172.0,247.125,87.0
601,233.80700000000002,1909.0,20.4321,1257.0
602,63.5571,1122.0,79.86,1285.0
603,308.995,1878.0,4.67251,1157.0
604,167.995,2357.0,39.1725,2797.0
605,266.975,1762.0,294.163,1032.0
606,179.985,1961.0,173.187,516.0
607,233.62,1904.0,179.985,1961.0
608,39.3696,1905.0,165.192,2063.0
609,873.75,1158.0,27.5475,1111.0
610,135.55700000000002,280.0,108.745,345.0
611,77.0283,235.0,29.0667,329.0
612,152.62,161.0,148.298,334.0
613,21.5187,255.0,175.298,155.0
614,122.79799999999999,149.0,152.62,161.0
615,70.6725,221.0,289.08099999999996,116.0
616,180.55700000000002,353.0,176.778,412.0
617,946.688,159.0,1070.44,789.0
618,5.61961,2833.0,62.4417,2431.0
619,213.93200000000002,1533.0,208.68200000000002,1439.0
620,25.2879,862.0,,
621,87.1821,1534.0,200.048,2675.0
622,92.4321,1315.0,119.43799999999999,152.0
624,,,66.0669,1408.0
625,27.9321,372.0,70.6725,221.0
626,32.2254,140.0,180.55700000000002,353.0
627,36.735,372.0,27.9321,372.0
628,191.05700000000002,403.0,32.2254,140.0
629,403.12,479.0,103.307,1506.0
630,296.62,468.0,61.1196,1130.0
631,1576.5,91.0,403.12,479.0
632,1572.94,96.0,296.62,468.0
633,52.4658,1692.0,1576.5,91.0
634,141.18200000000002,1425.0,112.081,1761.0
635,182.206,1357.0,192.923,1784.0
636,76.0908,1250.0,560.769,190.0
637,618.182,211.0,48.1821,1062.0
638,1730.06,129.0,91.8696,1552.0
639,258.923,824.0,,
640,155.769,166.0,139.68200000000002,807.0
641,100.84100000000001,651.0,3.7446099999999998,345.0
642,110.995,1006.0,155.769,166.0
643,81.3696,747.0,100.84100000000001,651.0
644,166.12,644.0,110.995,1006.0
645,33.7254,416.0,81.3696,747.0
646,21.7062,387.0,7.119610000000001,608.0
647,5.7783,743.0,1773.56,1252.0
648,62.0571,1182.0,21.7062,387.0
649,137.05700000000002,690.0,5.7783,743.0
650,68.6004,541.0,166.12,644.0
651,758.62,192.0,259.45599999999996,6727.0
652,1382.25,150.0,656.0189999999999,99.0
653,309.35,1077.0,118.67299999999999,1589.0
654,17.61,469.0,163.653,179.0
655,3.5571099999999998,269.0,125.413,190.0
656,207.519,137.0,17.61,469.0
657,307.86,158.0,207.528,376.0
658,43.3071,2500.0,134.235,300.0
659,183.894,104.0,307.86,158.0
660,181.66299999999998,409.0,43.3071,2500.0
661,113.235,419.0,183.894,104.0
662,1800.94,401.0,143.245,395.0
663,119.206,295.0,7.869610000000001,301.0
664,105.15299999999999,796.0,1800.94,401.0
665,72.9321,765.0,119.206,295.0
666,49.3071,1104.0,105.15299999999999,796.0
667,99.1725,492.0,72.9321,765.0
668,-9.9621,646.0,49.3071,1104.0
669,59.6196,1645.0,196.86,2131.0
670,107.04799999999999,248.0,3.5571099999999998,269.0
671,167.995,282.0,207.519,137.0
672,122.995,726.0,107.04799999999999,248.0
673,145.30700000000002,585.0,181.66299999999998,409.0
674,78.3696,347.0,173.43200000000002,254.0
675,23.8071,324.0,3.3696099999999998,407.0
676,164.028,762.0,78.3696,347.0
677,150.173,417.0,23.8071,324.0
678,46.6629,356.0,195.192,748.0
679,87.1725,594.0,41.0571,803.0
680,15.3696,665.0,18.3696,692.0
681,75.9321,925.0,7.494610000000001,411.0
682,33.7158,505.0,15.3696,665.0
683,43.8696,1049.0,14.0475,966.0
684,140.995,749.0,43.8696,1049.0
685,127.139,521.0,59.0571,762.0
686,18.5571,723.0,140.995,749.0
687,49.6533,548.0,127.139,521.0
688,160.85,2004.0,124.456,1277.0
689,3.3696099999999998,774.0,49.6533,548.0
690,135.745,3332.0,317.807,887.0
691,99.735,1113.0,23.1181,581.0
692,,,194.68099999999998,1124.0
693,21.7062,387.0,7.119610000000001,608.0
694,46.3071,328.0,327.163,237.0
695,49.485,539.0,104.44200000000001,450.0
696,178.081,421.0,46.3071,328.0
697,365.43199999999996,159.0,49.485,539.0
698,319.504,83.0,38.0379,1043.0
